rank,isbn13,12세_대출,중심도,집중도,점수,제목,저자,출판사,출판년,추천연령,최다선택나이,분포,그림책,총대출
1,9788962680942,6719,0.691,3.0,4642.6,우주 호텔 ,유순희 글 ;오승민 그림,해와나무,2012,10~12세,12,더 어린 아이부터 봄,False,17146
2,9788987721217,6588,0.902,3.0,5943.3,(박완서 동화집)자전거 도둑,박완서 글;한병호 그림,다림,2000,11~13세,13,더 어린 아이부터 봄,False,21648
3,9788936442507,6573,0.824,3.0,5414.3,불량한 자전거 여행 :김남중 장편동화 ,지은이: 김남중 ;그린이: 허태준,창비,2009,11~12세,12,더 어린 아이부터 봄,False,22386
4,9788954674638,6566,0.727,3.0,4770.8,5번 레인 ,은소홀 글 ;노인경 그림,문학동네,2020,10~12세,12,더 어린 아이부터 봄,False,29620
5,9788954620260,6558,0.71,3.0,4656.7,시간 가게 ,이나영 글 ;윤정주 그림,문학동네,2013,10~12세,12,더 어린 아이부터 봄,False,30689
6,9788954609623,6349,0.997,3.0,6330.0,거짓말 학교 ,전성희 글 ;소윤경 그림,문학동네,2009,11~13세,12,대칭,False,17142
7,9788936442804,6222,0.585,2.929,3638.2,푸른 사자 와니니 :이현 장편동화 ,지은이: 이현 ;그린이: 오윤화,창비,2015,10~12세,12,더 어린 아이부터 봄,False,39329
8,9788954607346,6219,0.612,2.946,3806.8,책과 노니는 집 ,이영서 글 ;김동성 그림,문학동네,2009,11~12세,11,더 큰 아이 쪽으로 넓음,False,35054
9,9788984318304,5910,0.981,3.0,5796.7,블랙아웃 :박효미 장편동화 ,지은이: 박효미 ;그린이: 마영신,한겨레출판,2014,11~13세,12,대칭,False,14595
10,9788954612883,5799,0.938,3.0,5436.9,"봉주르, 뚜르 ",한윤섭 글 ;김진화 그림,문학동네,2010,11~13세,12,대칭,False,14086
11,9788963191577,5636,0.578,2.838,3257.4,수상한 학원 ,박현숙 글 ;장서영 그림,북멘토,2016,10~12세,12,더 어린 아이부터 봄,False,36923
12,9788993900873,5558,0.716,3.0,3982.2,암호클럽,글: 페니 워너 ;윤영,가람어린이,2016,10~12세,12,더 어린 아이부터 봄,False,27548
13,9788937839719,5468,0.619,2.535,3383.1,내일은 실험왕 :본격 대결 과학실험 만화,"글: 곰돌이 co. ,그림: 홍종현",미래엔,2011,10~12세,13,더 어린 아이부터 봄,True,41007
14,9788949124353,5449,0.629,3.0,3426.2,복제인간 윤봉구 ,임은하 글 ;정용환 그림,비룡소,2017,10~12세,12,더 어린 아이부터 봄,False,28298
15,9788949121697,5308,0.698,3.0,3703.4,맞아 언니 상담소 ,김혜정 글 ;김민준 그림,비룡소,2016,11~12세,12,더 어린 아이부터 봄,False,22734
16,9788937837784,5295,0.686,2.89,3634.0,윔피 키드,제프 키니 글·그림 ;신인수 옮김,미래엔,2016,10~12세,13,더 어린 아이부터 봄,False,32295
17,9788963191010,5258,0.559,2.755,2939.3,수상한 아파트 ,박현숙 글 ;장서영 그림,북멘토,2014,10~12세,12,더 어린 아이부터 봄,False,36351
18,9788937839702,5249,0.607,2.496,3185.8,내일은 실험왕 :본격 대결 과학실험 만화,"글: 곰돌이 co. ,그림: 홍종현",미래엔,2011,9~12세,13,더 어린 아이부터 봄,True,40709
19,9788937884832,5223,0.614,2.575,3206.2,내일은 실험왕 :본격 대결 과학실험 만화,"글: 곰돌이 co. ,그림: 홍종현",미래엔,2011,9~12세,13,더 어린 아이부터 봄,True,38919
20,9788949197814,5177,0.597,2.69,3091.4,건방이의 건방진 수련기 ,천효정 글 ;강경수 그림,비룡소,2014,10~12세,12,더 어린 아이부터 봄,False,35822
21,9788936443054,5136,0.606,3.0,3110.9,푸른 사자 와니니 :이현 장편동화 ,지은이: 이현 ;그린이: 오윤화,창비,2015,10~12세,12,더 어린 아이부터 봄,False,29120
22,9788936442927,5117,0.575,3.0,2941.6,도깨비폰을 개통하시겠습니까? :박하익 장편동화 ,지은이: 박하익 ;그린이: 손지희,창비,2018,10~12세,12,더 어린 아이부터 봄,False,30908
23,9788987721095,5101,0.952,3.0,4856.0,우리들의 일그러진 영웅,이문열 지음,다림,1999,11~13세,13,더 어린 아이부터 봄,False,15336
24,9788949197821,5056,0.626,2.867,3166.1,건방이의 건방진 수련기,천효정 글 ;강경수 그림,비룡소,,10~12세,12,더 어린 아이부터 봄,False,31937
25,9788954677158,5029,0.679,2.758,3413.7,긴긴밤 ,루리 글·그림,문학동네,2021,10~12세,13,더 어린 아이부터 봄,False,32334
26,9788949121338,5004,0.551,2.808,2757.5,빨강 연필 :신수현 장편동화 ,글쓴이: 신수현 ;그린이: 김성희,비룡소,2011,10~12세,11,더 큰 아이 쪽으로 넓음,False,31402
27,9788949197838,4984,0.643,2.882,3204.4,건방이의 건방진 수련기,천효정 글 ;강경수 그림,비룡소,,10~12세,12,더 어린 아이부터 봄,False,30884
28,9788949195193,4956,0.66,2.954,3269.8,스무고개 탐정과 마술사 ,허교범 글 ;고상미 그림,비룡소,2013,10~12세,12,더 어린 아이부터 봄,False,29616
29,9788937899232,4939,0.59,2.466,2911.6,내일은 발명왕 :본격 대결 과학발명 만화,글: 곰돌이 co. ;그림: 홍종현,Mirae N 아이세움,2011,9~12세,13,더 어린 아이부터 봄,True,39138
30,9788963191256,4913,0.559,2.942,2747.0,수상한 우리 반 ,박현숙 글 ;장서영 그림,북멘토,2015,10~12세,12,더 어린 아이부터 봄,False,31582
31,9791160947540,4896,0.81,3.0,3967.6,몬스터 차일드 :이재문 장편동화 ,지은이: 이재문 ;그린이: 김지인,사계절(사계절출판사),2021,11~12세,12,더 어린 아이부터 봄,False,17653
32,9788997798131,4837,0.562,2.923,2717.9,악플 전쟁 :이규희 장편동화 ,지은이: 이규희 ;그린이: 한수진,별숲,2013,11~12세,11,더 큰 아이 쪽으로 넓음,False,28458
33,9788936442996,4828,0.917,3.0,4425.6,불량한 자전거 여행 :김남중 장편동화,지은이: 김남중 ;오승민,창비,2019,11~13세,12,대칭,False,12524
34,9788954617352,4820,0.987,3.0,4758.1,열세 번째 아이 ,이은용 글 ;이고은 그림,문학동네,2012,11~13세,12,대칭,False,11188
35,9788936443177,4810,0.708,3.0,3407.3,마지막 레벨 업 :윤영주 장편동화 ,지은이: 윤영주 ;그린이: 안성호,창비,2021,11~12세,12,더 어린 아이부터 봄,False,21383
36,9788932020570,4804,0.999,3.0,4801.3,이모의 꿈꾸는 집 ,정옥 지음 ;정지윤 그림,문학과지성사,2010,12세,12,대칭,False,7451
37,9788937899256,4789,0.608,2.514,2913.0,내일은 발명왕 :본격 대결 과학발명 만화,글: 곰돌이 co. ;그림: 홍종현,Mirae N 아이세움,2011,9~12세,13,더 어린 아이부터 봄,True,36872
38,9788949195780,4744,0.665,2.913,3157.0,건방이의 건방진 수련기,천효정 글 ;강경수 그림,비룡소,,10~12세,12,더 어린 아이부터 봄,False,28686
39,9788987721118,4743,0.94,3.0,4457.6,(황순원 단편집)소나기,황순원 글;강우현 그림,다림,1999,12~13세,13,더 어린 아이부터 봄,False,11129
40,9788937847004,4719,0.696,2.826,3286.3,윔피 키드,제프 키니 글·그림 ;신인수 옮김,미래엔,2016,10~12세,13,더 어린 아이부터 봄,False,29228
41,9788937837531,4690,0.602,2.542,2824.6,내일은 발명왕 :본격 대결 과학발명 만화,글: 곰돌이 co. ;그림: 홍종현,Mirae N 아이세움,2011,9~12세,13,더 어린 아이부터 봄,True,35583
42,9788954634748,4644,0.778,3.0,3611.2,노잣돈 갚기 프로젝트 ,김진희 글 ;손지희 그림,문학동네,2015,11~12세,12,더 어린 아이부터 봄,False,15613
43,9788936442934,4617,0.697,3.0,3216.8,담임 선생님은 AI :이경화 장편동화 ,지은이: 이경화 ;그린이: 국민지,창비,2018,10~12세,12,더 어린 아이부터 봄,False,20394
44,9788963191935,4553,0.571,2.762,2599.4,수상한 친구 집 ,박현숙 글 ;장서영 그림,북멘토,2016,10~12세,12,더 어린 아이부터 봄,False,31045
