rank,isbn13,10세_대출,적합도,인기점수(50),추천도(100),제목,저자,출판사,출판년,추천연령,최다선택나이,분포,그림책,총대출
1,9788934933700,13637,0.852,50.0,92.6,잘못 뽑은 반장 ,이은재 글 ;서영경 그림,김영사,2009,10~12세,10,더 큰 아이 쪽으로 넓음,False,40250
2,9791195794799,10321,0.964,48.5,96.7,설민석의 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,2017,8~11세,9,더 큰 아이 쪽으로 넓음,False,63000
3,9791196025809,10220,0.997,48.5,98.3,설민석의 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,2017,9~12세,11,더 어린 아이부터 봄,False,60137
4,9791196025847,10096,0.989,48.4,97.9,설민석의 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,2017,9~12세,11,더 어린 아이부터 봄,False,56884
5,9791196025861,10052,0.998,48.4,98.3,설민석의 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,2017,9~12세,9,더 큰 아이 쪽으로 넓음,False,57597
6,9791164134267,9996,0.887,48.4,92.7,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,8~11세,9,더 큰 아이 쪽으로 넓음,True,63787
7,9791196232160,9995,0.97,48.4,96.9,설민석의 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,2017,9~12세,11,더 어린 아이부터 봄,False,54761
8,9791164135592,9592,0.903,48.2,93.3,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,8~11세,9,더 큰 아이 쪽으로 넓음,True,60537
9,9791164134847,9569,0.909,48.1,93.6,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,8~11세,9,더 큰 아이 쪽으로 넓음,True,60477
10,9791164132454,9411,0.869,48.1,91.5,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,8~11세,9,더 큰 아이 쪽으로 넓음,True,62069
11,9791164136261,9172,0.923,47.9,94.1,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,8~11세,9,더 큰 아이 쪽으로 넓음,True,56948
12,9788970572529,9158,0.851,47.9,90.5,양파의 왕따 일기,문선 글;박철민 그림,파랑새어린이,2001,10~12세,10,더 큰 아이 쪽으로 넓음,False,20086
13,9791164131686,9126,0.836,47.9,89.7,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,8~11세,9,더 큰 아이 쪽으로 넓음,True,63485
14,9788994475462,9041,0.932,47.8,94.5,젓가락 달인 ,유타루 지음 ;김윤주 그림,바람의 아이들,2014,10~11세,10,더 큰 아이 쪽으로 넓음,False,14909
15,9791188874088,8970,0.977,47.8,96.6,설민석의 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,2017,9~12세,11,더 어린 아이부터 봄,False,48947
16,9791188874149,8847,0.965,47.7,96.0,설민석의 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,2017,9~12세,11,더 어린 아이부터 봄,False,47558
17,9791188874262,8841,0.955,47.7,95.5,설민석의 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,2017,9~12세,11,더 어린 아이부터 봄,False,47296
18,9788937839719,8431,0.803,47.5,87.6,내일은 실험왕 :본격 대결 과학실험 만화,"글: 곰돌이 co. ,그림: 홍종현",미래엔,2011,10~12세,13,더 어린 아이부터 봄,True,41007
19,9791188874217,8430,0.959,47.5,95.4,설민석의 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,2017,9~12세,11,더 어린 아이부터 봄,False,45307
20,9788936442804,8408,0.729,47.5,83.9,푸른 사자 와니니 :이현 장편동화 ,지은이: 이현 ;그린이: 오윤화,창비,2015,10~12세,12,더 어린 아이부터 봄,False,39329
21,9788963191577,8366,0.739,47.4,84.4,수상한 학원 ,박현숙 글 ;장서영 그림,북멘토,2016,10~12세,12,더 어린 아이부터 봄,False,36923
22,9791188874293,8255,0.954,47.4,95.1,설민석의 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,2017,9~12세,11,더 어린 아이부터 봄,False,45123
23,9791164137527,8206,0.909,47.3,92.8,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,8~11세,9,더 큰 아이 쪽으로 넓음,True,51929
24,9788963191010,8183,0.774,47.3,86.0,수상한 아파트 ,박현숙 글 ;장서영 그림,북멘토,2014,10~12세,12,더 어린 아이부터 봄,False,36351
25,9788937839702,8073,0.821,47.2,88.3,내일은 실험왕 :본격 대결 과학실험 만화,"글: 곰돌이 co. ,그림: 홍종현",미래엔,2011,9~12세,13,더 어린 아이부터 봄,True,40709
26,9788958289869,8000,0.674,47.2,80.9,초록고양이 :위기철 동화 ,지은이: 위기철 ;그린이: 안미영,사계절,2016,8~10세,10,더 어린 아이부터 봄,False,19876
27,9788934993315,7987,0.78,47.2,86.2,또 잘못 뽑은 반장 ,이은재 글 ;신민재 그림,김영사,2014,10~12세,10,더 큰 아이 쪽으로 넓음,False,26783
28,9788949197814,7962,0.769,47.2,85.6,건방이의 건방진 수련기 ,천효정 글 ;강경수 그림,비룡소,2014,10~12세,12,더 어린 아이부터 봄,False,35822
29,9791164138197,7954,0.916,47.2,92.9,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,8~11세,9,더 큰 아이 쪽으로 넓음,True,49872
30,9788957982662,7903,0.988,47.1,96.5,지우개 따먹기 법칙 :유순희 장편동화 ,지은이: 유순희 ;그린이: 최정인,푸른책들,2011,9~11세,10,대칭,False,19756
31,9788937899232,7854,0.829,47.1,88.5,내일은 발명왕 :본격 대결 과학발명 만화,글: 곰돌이 co. ;그림: 홍종현,Mirae N 아이세움,2011,9~12세,13,더 어린 아이부터 봄,True,39138
32,9791164060481,7852,0.977,47.1,96.0,(이상한 과자 가게) 전천당,히로시마 레이코 글 ;김정화 옮김,길벗스쿨,2019,9~12세,9,더 큰 아이 쪽으로 넓음,False,44861
33,9788937884962,7803,0.847,47.1,89.4,내일은 발명왕 :본격 대결 과학발명 만화,글: 곰돌이 co. ;그림: 홍종현,Mirae N 아이세움,2011,9~12세,13,더 어린 아이부터 봄,True,38437
34,9788937899225,7798,0.842,47.1,89.2,내일은 발명왕 :본격 대결 과학발명 만화,글: 곰돌이 co. ;그림: 홍종현,Mirae N 아이세움,2011,9~12세,13,더 어린 아이부터 봄,True,37350
35,9788937839726,7795,0.796,47.1,86.9,내일은 실험왕 :본격 대결 과학실험 만화,"글: 곰돌이 co. ,그림: 홍종현",미래엔,2011,10~12세,13,더 어린 아이부터 봄,True,38423
36,9788937884795,7760,0.848,47.0,89.4,내일은 실험왕 :본격 대결 과학실험 만화,"글: 곰돌이 co. ,그림: 홍종현",미래엔,2011,9~12세,13,더 어린 아이부터 봄,True,37503
37,9788937884832,7759,0.809,47.0,87.5,내일은 실험왕 :본격 대결 과학실험 만화,"글: 곰돌이 co. ,그림: 홍종현",미래엔,2011,9~12세,13,더 어린 아이부터 봄,True,38919
