rank,isbn13,6세_대출,적합도,인기점수(50),추천도(100),제목,저자,출판사,출판년,추천연령,최다선택나이,분포,그림책,총대출
1,9788993242706,9108,0.851,50.0,92.6,장수탕 선녀님 ,지은이: 백희나,책읽는곰,2012,3~8세,4,더 큰 아이 쪽으로 넓음,True,55983
2,9788966350278,8942,0.887,49.8,94.2,바다 100층짜리 집 ,글·그림: 이와이 도시오 ;옮김: 김숙,북뱅크,2014,4~8세,5,대칭,False,46190
3,9791158360214,8320,0.89,49.2,93.7,이상한 엄마 ,백희나,책읽는곰,2016,3~8세,5,대칭,True,50284
4,9788936446819,8028,0.794,48.9,88.6,수박 수영장 :안녕달 그림책 ,지은이: 안녕달,창비,2015,3~8세,3,더 큰 아이 쪽으로 넓음,True,55125
5,9788989863915,8014,0.877,48.9,92.7,지하 100층짜리 집 ,글·그림: 이와이 도시오 ;옮긴이: 김숙,북뱅크,2011,4~7세,5,대칭,False,40094
6,9791158360375,7728,0.848,48.6,91.0,알사탕 ,백희나,책읽는곰,2017,3~8세,4,더 큰 아이 쪽으로 넓음,True,49004
7,9788993242980,7640,0.956,48.5,96.3,슈퍼 거북 ,유설화 글·그림,책읽는곰,2014,4~9세,5,더 큰 아이 쪽으로 넓음,True,50498
8,9788989863786,7526,0.802,48.3,88.4,100층짜리 집 ,글·그림: 이와이 도시오 ;옮김: 김숙,북뱅크,2021,3~7세,5,대칭,False,38144
9,9788966350759,7218,0.913,48.0,93.6,하늘 100층짜리 집 ,글·그림: 이와이 도시오 ;옮김: 김숙,북뱅크,2017,4~8세,5,더 큰 아이 쪽으로 넓음,False,37318
10,9788937838750,7160,0.584,47.9,77.1,(추리 천재) 엉덩이 탐정,트롤 글·그림 ;김정화 옮김,미래엔,2016,6~10세,9,대칭,False,68603
11,9788937889714,6989,0.573,47.7,76.3,(추리 천재) 엉덩이 탐정,트롤 글·그림 ;김정화 옮김,미래엔,2016,6~11세,9,대칭,False,68196
12,9788937848247,6970,0.564,47.7,75.9,(추리 천재) 엉덩이 탐정,트롤 글·그림 ;김정화 옮김,미래엔,2016,6~11세,9,대칭,False,66793
13,9791158360245,6955,0.78,47.6,86.6,초밥이 빙글빙글 ,구도 노리코 글·그림 ;윤수정 옮김,책읽는곰,2016,3~6세,5,대칭,True,32358
