rank,isbn13,5세_대출,중심도,집중도,점수,제목,저자,출판사,출판년,추천연령,최다선택나이,분포,그림책,총대출
1,9788993242706,7104,0.985,1.514,6997.7,장수탕 선녀님 ,지은이: 백희나,책읽는곰,2012,3~8세,4,더 큰 아이 쪽으로 넓음,True,55983
2,9788966350278,6699,0.96,1.852,6432.3,바다 100층짜리 집 ,글·그림: 이와이 도시오 ;옮김: 김숙,북뱅크,2014,4~8세,5,대칭,False,46190
3,9788936446819,6653,0.994,1.376,6613.9,수박 수영장 :안녕달 그림책 ,지은이: 안녕달,창비,2015,3~8세,3,더 큰 아이 쪽으로 넓음,True,55125
4,9791158360214,6364,0.973,1.527,6190.3,이상한 엄마 ,백희나,책읽는곰,2016,3~8세,5,대칭,True,50284
5,9788989863915,6038,0.96,1.943,5799.1,지하 100층짜리 집 ,글·그림: 이와이 도시오 ;옮긴이: 김숙,북뱅크,2011,4~7세,5,대칭,False,40094
6,9791158360375,6037,0.984,1.439,5943.0,알사탕 ,백희나,책읽는곰,2017,3~8세,4,더 큰 아이 쪽으로 넓음,True,49004
7,9788989863786,5958,1.0,1.917,5955.9,100층짜리 집 ,글·그림: 이와이 도시오 ;옮김: 김숙,북뱅크,2021,3~7세,5,대칭,False,38144
8,9788993242980,5814,0.904,1.473,5253.4,슈퍼 거북 ,유설화 글·그림,책읽는곰,2014,4~9세,5,더 큰 아이 쪽으로 넓음,True,50498
9,9788966350759,5403,0.928,1.894,5012.3,하늘 100층짜리 집 ,글·그림: 이와이 도시오 ;옮김: 김숙,북뱅크,2017,4~8세,5,더 큰 아이 쪽으로 넓음,False,37318
10,9791185564951,5254,0.806,2.03,4235.3,빵 공장이 들썩들썩 ,구도 노리코 글·그림 ;윤수정 옮김,책읽는곰,2015,3~6세,3,더 큰 아이 쪽으로 넓음,True,30744
11,9791158360801,5103,0.985,1.582,5028.9,이상한 손님 ,백희나,책읽는곰,2018,3~8세,4,더 큰 아이 쪽으로 넓음,True,39912
12,9791158360276,5083,0.954,1.823,4848.6,꽁꽁꽁 ,윤정주 글·그림,책읽는곰,2016,3~7세,5,대칭,True,33898
13,9791158360245,5057,0.938,2.033,4743.8,초밥이 빙글빙글 ,구도 노리코 글·그림 ;윤수정 옮김,책읽는곰,2016,3~6세,5,대칭,True,32358
14,9788958284482,4595,0.946,1.506,4345.3,감기 걸린 물고기 :박정섭 그림책 ,글·그림: 박정섭,사계절,2016,3~9세,5,대칭,True,37269
15,9788964963678,4502,0.951,1.818,4280.7,오싹오싹 팬티! ,글: 에런 레이놀즈 ;옮김: 홍연미,토토북,2018,4~8세,5,대칭,True,31114
16,9788936454951,4400,0.987,1.321,4341.0,할머니의 여름휴가,안녕달,창비,2016,3~9세,3,더 큰 아이 쪽으로 넓음,True,38130
17,9791185564128,4302,0.832,1.834,3580.3,꿈에서 맛본 똥파리 ,지은이: 백희나,책읽는곰,2014,3~6세,4,대칭,True,26570
18,9791158360986,4284,0.874,1.924,3745.9,아이스크림이 꽁꽁 ,구도 노리코 글·그림 ;윤수정 옮김,책읽는곰,2018,3~6세,3,더 큰 아이 쪽으로 넓음,True,27686
19,9788936455484,4260,0.951,1.57,4052.0,당근 유치원 ,지은이: 안녕달,창비,2020,3~7세,4,더 큰 아이 쪽으로 넓음,True,29796
20,9791158360382,4258,0.796,1.673,3390.7,왜냐면… ,안녕달 글·그림,책읽는곰,2017,3~6세,3,더 큰 아이 쪽으로 넓음,True,27395
