rank,isbn13,1세_대출,중심도,집중도,점수,제목,저자,출판사,출판년,추천연령,최다선택나이,분포,그림책,총대출
1,9788943310721,660,0.809,3.0,534.1,눈 코 입 ,글·그림: 백주희,보림출판사,2017,1~2세,1,더 큰 아이 쪽으로 넓음,True,1941
2,9788943307219,589,0.79,3.0,465.5,엄마랑 뽀뽀 ,김동수 지음,보림출판사,2008,1~2세,1,더 큰 아이 쪽으로 넓음,True,1999
3,9788943306090,577,0.686,3.0,395.6,사과가 쿵!,다다 히로시 지음;정근 옮김,보림출판사,2006,1~2세,1,더 큰 아이 쪽으로 넓음,True,3510
4,9788958282136,541,0.668,3.0,361.4,두드려 보아요,글·그림: 안나 클라라 티돌름,사계절출판사,2007,1~2세,1,더 큰 아이 쪽으로 넓음,True,2601
5,9791185173344,425,0.73,3.0,310.2,우리 아가 사랑해 ,김선영 글 ;김효은 그림,키위북스,2017,1~2세,1,더 큰 아이 쪽으로 넓음,False,1787
6,9791185173184,441,0.698,3.0,307.7,"코~ 자자, 코~ 자 ",김선영 글 ;김현 그림,키위북스,2015,1~2세,1,더 큰 아이 쪽으로 넓음,False,1964
7,9788955822618,386,0.765,3.0,295.2,아기가 아장아장 ,권사우 글·그림,길벗어린이,2013,1~2세,1,더 큰 아이 쪽으로 넓음,True,1241
8,9788943308193,391,0.748,3.0,292.6,아빠한테 찰딱 ,최정선 글 ;한병호 그림,보림출판사,2011,1~2세,1,더 큰 아이 쪽으로 넓음,True,1394
9,9788955821154,373,0.773,3.0,288.4,뒹굴뒹굴 짝짝 ,백연희 글 ;주경호 그림,길벗어린이,2010,1~2세,1,더 큰 아이 쪽으로 넓음,True,1108
10,9788955823325,403,0.627,3.0,252.5,아가야 밥 먹자 ,여정은 글 ;김태은 그림,길벗어린이,2015,1~2세,1,더 큰 아이 쪽으로 넓음,True,2181
11,9788970940564,404,0.623,3.0,251.6,달님 안녕 ,글·그린이: 하야시 아키코 ;옮긴이: 이영준,한림출판사,2006,1~3세,1,더 큰 아이 쪽으로 넓음,True,2993
12,9788958281320,396,0.632,3.0,250.1,누구 얼굴? ,글: 김정희 ;그림: 김유대,사계절,2016,1~2세,1,더 큰 아이 쪽으로 넓음,True,2399
13,9791185173207,353,0.675,3.0,238.1,똑 닮았어 ,김선영 글 ;한병호 그림,키위북스(Kiwibooks),2016,1~2세,1,더 큰 아이 쪽으로 넓음,False,1844
14,9788901220512,317,0.733,3.0,232.2,짠! 까꿍 놀이 ,글·그림: 기무라 유이치 ;옮김: 김미형,웅진씽크빅,2017,1~2세,1,더 큰 아이 쪽으로 넓음,False,1237
15,9788901220499,336,0.69,3.0,231.7,꾸벅 인사 놀이 ,글·그림: 기무라 유이치 ;옮김: 김미형,웅진씽크빅,2017,1~2세,1,더 큰 아이 쪽으로 넓음,False,1442
16,9791165731915,300,0.722,3.0,216.5,주세요 주세요 ,글: 신혜영 ;그림: 최미란,천개의바람,2021,1~2세,1,더 큰 아이 쪽으로 넓음,True,985
17,9788984888661,325,0.664,3.0,215.7,내가 안아 줄게 ,배현주 지음,베틀북,2015,1~2세,1,더 큰 아이 쪽으로 넓음,False,1512
18,9791185173269,341,0.627,3.0,213.9,치카치카 쓱쓱 ,김선영 글 ;이갑규 그림,키위북스(Kiwibooks),2016,1~2세,1,더 큰 아이 쪽으로 넓음,False,1999
19,9791185173498,305,0.693,3.0,211.2,"인사해요, 안녕! ",김선영 글 ;신성희 그림,키위북스(Kiwibooks),2019,1~2세,1,더 큰 아이 쪽으로 넓음,False,1276
20,9791165730598,312,0.673,3.0,209.8,후후후 ,글: 서지연 ;그림: 김지안,천개의바람,2020,1~2세,1,더 큰 아이 쪽으로 넓음,True,1459
21,9788943308056,325,0.625,3.0,203.1,치카 치카 하나 둘 ,글: 최정선 ;그림: 윤봉선,보림출판사,2010,1~2세,1,더 큰 아이 쪽으로 넓음,True,1495
22,9788901220444,309,0.651,3.0,201.2,냠냠 식사 놀이 ,글·그림: 기무라 유이치 ;옮김: 김미형,웅진씽크빅,2017,1~2세,1,더 큰 아이 쪽으로 넓음,False,1617
23,9788984887534,270,0.737,3.0,199.1,뽀뽀 쪽! ,김선영 글 ;김현 그림,베틀북,2012,1~2세,1,더 큰 아이 쪽으로 넓음,True,893
24,9788958288565,311,0.64,3.0,199.0,아기 꽃이 펑! ,황K 글·그림,사계절출판사,2015,1~2세,1,더 큰 아이 쪽으로 넓음,True,1600
25,9788955821857,300,0.657,3.0,197.2,냠냠냠 쪽쪽쪽 ,문승연 글·그림,길벗어린이,2011,1~3세,1,더 큰 아이 쪽으로 넓음,True,1705
26,9788936454364,260,0.758,3.0,197.2,아장아장 걸어요 ,보린 글 ;백은희 그림,창비,2010,1~2세,1,더 큰 아이 쪽으로 넓음,True,667
27,9788958280798,392,0.491,3.0,192.6,누구 엉덩이? ,글: 김정희 ;그림: 김유대,사계절,2016,1~3세,1,더 큰 아이 쪽으로 넓음,True,7203
28,9788952768506,296,0.646,3.0,191.1,뚜껑 뚜껑 열어라 ,정은정 글 ;윤지회 그림,시공사,2013,1~2세,1,더 큰 아이 쪽으로 넓음,True,1595
29,9791157851829,245,0.762,3.0,186.7,손뼉을 짝짝짝! ,글·그림: 이성아,키다리,2017,1~2세,1,더 큰 아이 쪽으로 넓음,True,619
30,9791185173252,302,0.613,3.0,185.1,그럼 내가 먹을까? ,김선영 글 ;배현주 그림,키위북스(Kiwibooks),2016,1~2세,1,더 큰 아이 쪽으로 넓음,False,1953
31,9788943304980,251,0.726,3.0,182.2,(열두 띠 동물) 까꿍놀이 ,최숙희 지음,보림출판사,2009,1~2세,1,더 큰 아이 쪽으로 넓음,True,1027
32,9788990794529,297,0.611,3.0,181.5,사랑해 사랑해 사랑해,로제티 슈스탁 글;신형건 옮김,보물창고,2006,1~3세,1,더 큰 아이 쪽으로 넓음,True,2138
33,9788943312220,275,0.629,3.0,172.9,"잡아라, 잡아라 ","글, 그림: 백주희",보림출판사,2019,1~3세,1,더 큰 아이 쪽으로 넓음,True,1268
34,9788936454418,259,0.654,3.0,169.3,아기 동물 123 :날개책 ,글·그림: 류재욱,창비,2012,1~2세,1,더 큰 아이 쪽으로 넓음,True,1179
35,9791161724492,204,0.812,3.0,165.4,탄소 중립이 뭐예요? ,장성익 글 ;방상호 그림,풀빛,2022,1~3세,1,더 큰 아이 쪽으로 넓음,False,1046
36,9788984889743,226,0.731,3.0,165.2,"엄마, 맘마! ",이정은 지음,베틀·북,2020,1~2세,1,더 큰 아이 쪽으로 넓음,False,642
37,9791185173597,238,0.663,3.0,157.6,친구 할까? 그래! ,김선영 글 ;오승민 그림,키위북스(Kiwibooks),2019,1~2세,1,더 큰 아이 쪽으로 넓음,False,1188
38,9791187517221,239,0.659,3.0,157.4,엄마 좋아! 아빠 좋아! ,글: 허은미 ;그림: 김병하,한울림어린이,2017,1~2세,1,더 큰 아이 쪽으로 넓음,True,1166
39,9788936454357,235,0.663,3.0,155.7,냠냠냠 맛있다 ,보린 글 ;백은희 그림,창비,2010,1~2세,1,더 큰 아이 쪽으로 넓음,True,1034
40,9791157851836,229,0.678,3.0,155.3,"꼭 잡아, 꼭!",송선옥 (지은이),키다리,2017,1~2세,1,더 큰 아이 쪽으로 넓음,True,501
